Code,Company name,Volume,Adj Close,price_change,pc_change,short_pred,long_pred
CMW,CROMWELL PROPERTY GROUP,1473934.0,1.172,0.002,0.17,SELL,BUY
CWN,CROWN RESORTS LIMITED,330517.0,12.76,0.04,0.31,BUY,BUY
CSL,CSL LIMITED,170297.0,224.66,-0.03,-0.01,BUY,BUY
CSR,CSR LIMITED,239134.0,4.11,-0.06,-1.44,BUY,BUY
CYB,CYBG PLC,618390.0,3.43,-0.08,-2.28,SELL,SELL
DXS,DEXUS,775311.0,13.635,0.045,0.33,BUY,BUY
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,204400.0,3.05,-0.04,-1.29,SELL,BUY
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,271052.0,37.52,-0.08,-0.21,SELL,SELL
DOW,DOWNER EDI LIMITED,270571.0,6.895,0.045,0.66,SELL,SELL
DLX,DULUXGROUP LIMITED,424332.0,9.345,0.005,0.05,BUY,BUY
ECX,ECLIPX GROUP LIMITED,1839951.0,1.5,-0.055,-3.54,BUY,BUY
ELD,ELDERS LIMITED,531027.0,6.99,0.02,0.29,BUY,BUY
EHL,EMECO HOLDINGS LIMITED,669375.0,2.15,0.0,0.0,BUY,BUY
EHE,ESTIA HEALTH LIMITED,309199.0,2.675,0.085,3.28,SELL,SELL
EVN,EVOLUTION MINING LIMITED,4309795.0,4.64,0.11,2.43,BUY,BUY
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,58371.0,15.13,0.1,0.67,BUY,BUY
FBU,FLETCHER BUILDING LIMITED,831541.0,4.705,-0.055,-1.16,SELL,SELL
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,59591.0,42.91,-0.19,-0.44,BUY,BUY
FMG,FORTESCUE METALS GROUP LTD,5056485.0,8.675,-0.055,-0.63,SELL,BUY
GUD,G.U.D. HOLDINGS LIMITED,60743.0,10.08,-0.01,-0.1,SELL,SELL
GEM,G8 EDUCATION LIMITED,1187649.0,2.665,0.005,0.19,SELL,SELL
GXY,GALAXY RESOURCES LIMITED,2731617.0,1.292,0.012,0.94,SELL,SELL
GMG,GOODMAN GROUP,1016333.0,15.095,-0.075,-0.49,SELL,BUY
GPT,GPT GROUP,1144808.0,6.15,-0.02,-0.32,SELL,BUY
GNC,GRAINCORP LIMITED,316354.0,8.695,-0.005,-0.06,BUY,BUY
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,237463.0,4.345,-0.015,-0.34,BUY,BUY
GWA,GWA GROUP LIMITED.,234348.0,3.455,0.015,0.44,SELL,BUY
HVN,HARVEY NORMAN HOLDINGS LIMITED,790548.0,4.265,-0.005,-0.12,BUY,BUY
