Code,Company name,GICS industry group,High,Low,Open,Close,Volume,Adj Close,moving_20,moving_100,std,price_change,pc_change,short_pred,long_pred
ABP,ABACUS PROPERTY GROUP,Real Estate,4.21999979019165,4.170000076293945,4.210000038146973,4.210000038146973,436605.0,4.21,4.212571501731873,3.8159082627296446,0.8604070801570838,0.0,0.0,SELL,BUY
ABC,ADELAIDE BRIGHTON LIMITED,Materials,4.349999904632568,4.179999828338623,4.179999828338623,4.349999904632568,2365140.0,4.35,4.189000034332276,4.248459720611573,1.397284667027091,0.17,4.07,BUY,BUY
APT,AFTERPAY TOUCH GROUP LIMITED,Software & Services,24.299999237060547,23.399999618530273,23.40999984741211,24.020000457763672,1409695.0,24.02,25.41199998855591,23.594399852752687,7.223012978155271,0.61,2.61,SELL,BUY
AGL,AGL ENERGY LIMITED.,Utilities,20.760000228881836,20.25,20.360000610351562,20.719999313354492,1397101.0,20.72,20.445999813079833,,0.4205698372979283,0.36,1.77,BUY,
ALQ,ALS LIMITED,Commercial & Professional Services,7.230000019073486,6.960000038146973,7.010000228881836,7.210000038146973,1825973.0,7.21,7.421500039100647,7.566121306419372,1.680445949984765,0.2,2.85,SELL,SELL
ALU,ALTIUM LIMITED,Software & Services,36.154998779296875,35.470001220703125,36.119998931884766,36.06999969482422,186504.0,36.07,35.125000190734866,33.03011659622192,8.963477816878823,-0.05,-0.14,BUY,BUY
AWC,ALUMINA LIMITED,Materials,2.259999990463257,2.180000066757202,2.190000057220459,2.240000009536743,7852024.0,2.24,2.3229999899864198,2.4128400325775146,0.5523267032964232,0.05,2.28,SELL,SELL
AMC,AMCOR PLC,Materials,15.970000267028809,15.859999656677246,15.949999809265137,15.920000076293945,2381274.0,15.92,16.072500228881836,15.64921935081482,4.0510218847320205,-0.03,-0.19,SELL,BUY
AMP,AMP LIMITED,Diversified Financials,1.8200000524520874,1.784999966621399,1.784999966621399,1.7949999570846558,11271844.0,1.795,2.041750019788742,2.1840466153621674,0.8408725071921547,0.01,0.56,SELL,SELL
ANN,ANSELL LIMITED,Health Care Equipment & Services,27.110000610351562,26.649999618530273,26.989999771118164,26.979999542236328,288749.0,26.98,27.017000102996825,26.04379997253418,5.338196444356238,-0.01,-0.04,SELL,BUY
APA,APA GROUP,Utilities,11.039999961853027,10.800000190734863,10.8100004196167,11.0,1375405.0,11.0,11.004322052001953,10.099143505096436,2.4773350786837494,0.19,1.76,SELL,BUY
APX,APPEN LIMITED,Software & Services,30.15999984741211,29.25,29.8799991607666,30.1299991607666,367991.0,30.13,29.10300006866455,25.477907009124756,7.301714304360704,0.25,0.84,BUY,BUY
ARB,ARB CORPORATION LIMITED.,Automobiles & Components,18.8799991607666,18.549999237060547,18.780000686645508,18.709999084472656,86814.0,18.71,18.482500267028808,18.05392562866211,4.578525622534816,-0.07,-0.37,BUY,BUY
ALG,ARDENT LEISURE GROUP LIMITED,Consumer Services,1.1299999952316284,1.0950000286102295,1.100000023841858,1.1299999952316284,455865.0,1.13,1.0912500083446504,1.2205000019073486,0.1640792212138588,0.03,2.73,BUY,SELL
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,29.9950008392334,29.549999237060547,29.90999984741211,29.709999084472656,1270216.0,29.71,29.862499904632568,26.975827751159667,9.025148580185322,-0.2,-0.67,SELL,BUY
ASX,ASX LIMITED,Diversified Financials,87.73999786376953,86.2300033569336,86.5,87.3499984741211,245590.0,87.35,85.25699958801269,75.8392919921875,15.22495504220879,0.85,0.98,BUY,BUY
ALX,ATLAS ARTERIA,Transportation,7.914999961853027,7.75,7.809999942779541,7.880000114440918,1233168.0,7.88,7.899999976158142,7.297078466415405,2.035527831986082,0.07,0.9,SELL,BUY
AZJ,AURIZON HOLDINGS LIMITED,Transportation,5.539999961853027,5.5,5.519999980926514,5.539999961853027,3389622.0,5.54,5.489999985694885,4.967100000381469,0.8350911044243611,0.02,0.36,BUY,BUY
ASL,AUSDRILL LIMITED,Materials,2.0199999809265137,1.9420000314712524,2.0,1.965000033378601,2188985.0,1.965,1.8597500145435333,1.632215666770935,0.7605016833596018,-0.035,-1.75,BUY,BUY
AST,AUSNET SERVICES LIMITED,Utilities,1.8450000286102295,1.8270000219345093,1.8300000429153442,1.840000033378601,7361108.0,1.84,1.8927499949932098,1.7968720769882203,0.411358565725755,0.01,0.55,SELL,BUY
ASB,AUSTAL LIMITED,Capital Goods,4.150000095367432,3.990000009536743,3.990000009536743,4.130000114440918,5275463.0,4.13,3.540000009536743,2.7470581793785094,0.5934086598238523,0.14,3.51,BUY,BUY
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Banks,27.479999542236328,27.19499969482422,27.209999084472656,27.3799991607666,3624244.0,27.38,27.77450008392334,26.903415813446045,5.096180388598292,0.17,0.62,SELL,BUY
